,file_name,Subject1,Subject2,n_success,n_failures,norm_score,skill,task_score,max_seq,avg_seq,bounce_hull,bounce_std,bounce_sp_entropy,bounce_sc_entropy,rt_lyp,samp_en,std_rt,avg_p1,avg_p2,avg_p3,var_p1,var_p2,var_p3,avg_start_fs,std_start_fs,session_class,Tobii_percentage
13,2022-11-17_M_T04,SE006C,,55,19,5.753556017,0.743243243,0.546058685,13,2.75,392922.6183,190.6940368,0.581314007,0.599614685,0.869686544,0.857824273,13.98270478,35.12727273,22.81818182,25.63636364,8.31658703,6.362077731,7.816913216,39.29090909,8.389761568,2,94.820352
14,2022-11-21_A_T03,SE007B,,95,12,7.126910527,0.887850467,0.789429125,20,7.307692308,402328.9526,149.8227399,0.520245432,0.61806592,0.67897594,0.967878101,9.948287343,41.35789474,28.12631579,39.51578947,6.052256281,5.31975881,4.414958205,56.83157895,7.715538159,2,84.284418
15,2022-11-21_A_T04,SE007A,,203,4,10.10152284,0.980676329,0.962058412,148,40.6,674081.0672,158.6483243,0.518715721,0.645947335,-1.62199986,0.907816105,8.587629782,40.13793103,23.31527094,31.74876847,6.651840714,6.116207436,4.714607419,45.4729064,8.55713944,0,94.360018
16,2022-11-21_A_T06,SE007C,,210,6,11.41386449,0.972222222,0.945350529,70,30.0,414064.3933,130.5220847,0.491057308,0.615009392,1.067150354,0.781525942,10.00681061,34.22380952,22.11428571,26.41904762,5.283613911,5.224145928,6.409488431,34.3952381,8.213866104,0,91.58071
17,2022-11-24_M_T01,SE008B,,220,4,10.60330863,0.982142857,0.965220166,187,44.0,332716.5065,116.8727036,0.441797687,0.655750554,0.861144245,0.72244355,10.2069495,35.26363636,27.50909091,28.22727273,4.537074093,4.657829097,10.18301535,42.71363636,9.352918623,0,91.726392
18,2022-11-24_M_T03,SE008A,,206,5,10.8023862,0.976303318,0.95305925,137,34.33333333,544586.4934,170.1835393,0.548065389,0.582984937,0.995443463,1.136450438,8.191787486,36.13106796,24.63592233,27.40776699,5.760368939,5.163207296,4.179090097,42.7184466,7.190767376,0,88.518412
19,2022-11-24_M_T06,SE008C,,38,23,2.462649811,0.62295082,0.386186553,10,1.583333333,456375.6822,195.9911142,0.576968607,0.652708147,0.386467814,1.331234584,8.788212957,38.36842105,24.55263158,36.44736842,5.431007722,6.235287392,5.761475361,53.73684211,6.536070808,2,95.857352
20,2022-11-29_A_T04,SE010B,,49,19,4.804612428,0.720588235,0.531901213,8,2.45,244954.4256,128.8823601,0.481137912,0.652932928,0.736563146,1.419817053,13.65972504,36.12244898,31.0,26.93877551,6.261748641,10.72095031,8.313765726,47.0,7.892129895,2,94.250264
21,2022-11-28_A_T04,SE009B,,118,12,8.624898291,0.907692308,0.826155098,24,9.076923077,554220.2747,175.4479485,0.558591995,0.584938555,0.883009613,0.87589166,13.08871899,37.39830508,27.23728814,30.16101695,6.943036788,6.56348136,6.079934125,45.04237288,10.85840615,0,90.102124
22,2022-11-29_A_T06,SE010A,,172,14,10.99283379,0.924731183,0.84919828,53,11.46666667,494236.4201,167.974688,0.548460633,0.604821398,1.116151929,1.032765723,12.56870115,30.68604651,26.6744186,19.37790698,5.365179786,6.14067995,9.229136133,37.22674419,10.275891,0,98.698754
23,2022-11-30_A_T01,SE011C,,383,2,15.06941423,0.994805195,0.989532723,359,127.6666667,235889.9488,90.10374405,0.372737944,0.597469901,-1.151151419,0.45824375,5.584282052,26.63446475,22.41253264,16.61618799,2.454188653,3.136086535,3.784874264,26.81984334,3.727874394,0,97.809842
24,2022-11-30_A_T04,SE011B,,25,17,1.890805956,0.595238095,0.377739136,4,1.388888889,146248.4151,123.024017,0.489712978,-1.0,-0.925842226,0.990398704,17.17672844,40.36,39.68,27.36,8.934785952,10.22436306,7.36955901,58.4,9.252026805,2,90.835924
25,2022-12-01_A_T01,SE012B,,205,7,10.16688062,0.966981132,0.937735849,95,25.625,698214.064,194.0037096,0.577213406,0.59844987,0.971862316,0.491648957,17.28762457,35.64390244,26.16097561,30.32195122,6.358786845,7.418397633,10.13392063,43.41463415,17.33764494,0,91.142792
26,2022-12-01_A_T04,SE012C,,152,15,8.721115284,0.910179641,0.831265345,30,9.5,591232.6063,182.0657773,0.56773967,0.613095177,-0.797092378,1.12148495,8.873414864,36.65131579,23.875,33.86184211,5.968403503,6.325920466,4.473679373,49.51973684,7.932254603,0,86.225546
27,2022-12-05_M_T03A,SE013B,,174,12,9.41094458,0.935483871,0.877607124,38,13.38461538,521503.3026,174.7502267,0.553445791,0.604483206,0.999836385,1.09451032,12.1098282,36.54022989,25.67241379,30.59770115,6.626843006,7.73272178,6.85558715,41.12643678,10.77758913,0,91.003922
28,2022-12-05_M_T04,SE013C,,170,5,9.763891355,0.971428571,0.943893552,118,28.33333333,348937.9009,129.7766511,0.48990852,0.59999038,0.93299377,1.074706768,7.556522882,38.32941176,24.58235294,33.67647059,5.255558929,6.005559708,5.041711826,44.97058824,8.352827257,0,96.785624
